usage_id,user_id,session_date,device,genre,watch_minutes,completed_content
105,5,2025-07-06,SmartTV,comedy,24,True
106,5,2026-04-30,Roku,comedy,1,True
107,5,2025-06-25,Android,comedy,14,True
108,5,2026-04-18,Android,drama,78,True
109,5,2026-01-21,SmartTV,kids,81,True
110,5,2025-11-16,Android,reality,84,False
111,5,2025-02-06,Roku,sci_fi,25,True
112,5,2026-05-14,iOS,documentary,31,True
113,5,2026-01-31,Web,kids,69,True
114,5,2025-08-08,Android,documentary,13,True
115,5,2025-07-28,SmartTV,kids,13,False
116,5,2024-12-22,Roku,anime,57,False
117,5,2026-03-08,iOS,kids,67,True
118,5,2026-04-22,SmartTV,comedy,8,True
119,5,2025-07-10,Android,anime,83,False
120,5,2025-07-13,Android,comedy,22,True
121,5,2025-11-18,Android,sci_fi,9,True
122,5,2025-09-19,iOS,true_crime,92,True
123,6,2026-02-10,Android,anime,1,True
124,6,2025-05-06,Roku,reality,1,False
125,6,2026-05-10,Web,drama,57,True
126,6,2025-10-29,Roku,anime,10,True
127,6,2025-05-12,Web,documentary,47,False
128,6,2026-05-24,Roku,true_crime,34,True
129,6,2025-06-26,Roku,comedy,46,True
130,6,2026-03-26,Roku,comedy,44,True
131,6,2025-07-03,Web,true_crime,20,True
132,6,2026-06-23,iOS,comedy,30,True
133,6,2026-06-19,Web,reality,60,True
134,6,2025-04-28,Web,documentary,25,True
135,6,2025-11-29,Android,drama,65,False
136,6,2025-05-30,Web,anime,31,False
137,6,2025-07-16,iOS,sci_fi,24,False
138,6,2025-04-19,Android,anime,11,True
139,6,2026-02-22,Roku,kids,102,False
140,6,2025-10-16,iOS,drama,10,True
141,6,2025-10-07,iOS,sci_fi,1,True
142,6,2026-01-25,SmartTV,true_crime,31,True
143,6,2025-04-10,Android,drama,11,False
144,6,2025-07-12,iOS,sci_fi,8,True
145,6,2025-04-02,Web,reality,1,True
146,6,2025-04-21,Web,anime,39,True
147,6,2025-09-04,iOS,documentary,19,True
148,6,2025-04-02,SmartTV,kids,56,True
149,6,2026-04-19,SmartTV,documentary,11,True
150,6,2025-12-27,Web,documentary,16,True
151,6,2025-05-23,Android,anime,27,True
152,6,2025-11-17,Web,drama,5,False
153,6,2025-09-02,SmartTV,true_crime,89,True
154,6,2025-11-11,SmartTV,kids,33,True
155,6,2025-05-27,SmartTV,anime,48,False
156,6,2025-06-28,Roku,anime,38,False
157,6,2026-04-16,Roku,reality,80,True
158,6,2025-11-24,iOS,documentary,40,True
159,6,2025-05-31,Web,comedy,27,False
160,6,2025-12-09,Roku,comedy,16,False
161,6,2025-12-10,Roku,drama,58,False
162,6,2025-05-04,iOS,kids,1,False
163,6,2025-09-03,Roku,documentary,9,False
164,6,2025-09-22,Android,anime,88,False
165,6,2025-02-05,Web,reality,73,True
166,6,2026-03-02,iOS,true_crime,83,False
167,7,2026-01-19,Web,documentary,17,True
168,7,2026-05-06,iOS,sci_fi,110,True
169,7,2026-01-25,Android,sci_fi,50,False
170,7,2026-05-07,SmartTV,anime,3,True
171,7,2026-06-05,iOS,sci_fi,28,False
172,7,2026-03-04,iOS,drama,46,True
173,7,2026-03-13,iOS,drama,66,False
174,7,2026-06-20,Android,anime,25,False
175,7,2026-02-22,Web,comedy,39,True
176,7,2026-06-03,Android,documentary,76,True
177,8,2026-01-15,Android,true_crime,22,True
178,8,2025-02-10,Android,true_crime,32,False
179,8,2025-05-12,Roku,reality,73,True
180,8,2026-03-01,Web,documentary,94,False
181,8,2025-06-22,Android,comedy,72,True
182,8,2025-11-08,Android,comedy,26,False
183,8,2026-01-07,Android,kids,7,True
184,8,2026-02-18,Web,drama,20,False
185,8,2024-10-31,Roku,anime,41,True
186,8,2025-12-11,Web,sci_fi,45,True
187,8,2025-12-28,Roku,drama,53,False
188,8,2025-10-30,Roku,anime,53,True
189,8,2025-10-30,Web,kids,44,True
190,8,2025-05-16,iOS,kids,27,False
191,8,2025-10-22,Web,comedy,70,False
192,8,2025-02-05,Roku,reality,62,True
193,8,2025-10-13,SmartTV,true_crime,6,True
194,8,2025-10-27,iOS,kids,1,False
195,8,2025-07-12,Android,documentary,9,True
196,8,2025-03-14,SmartTV,sci_fi,46,False
197,8,2024-12-07,Android,true_crime,86,False
198,8,2025-02-19,Roku,comedy,7,True
199,8,2026-04-19,Android,kids,22,False
200,8,2025-09-07,Web,documentary,12,False
201,8,2025-02-27,Web,reality,71,True
202,8,2026-03-21,iOS,comedy,26,True
203,8,2025-05-26,iOS,reality,59,True
204,8,2025-07-01,SmartTV,kids,44,False
205,8,2025-07-19,Roku,comedy,99,True
206,8,2024-11-16,SmartTV,anime,54,True
207,8,2025-11-13,Android,comedy,15,True
208,8,2025-09-04,Web,drama,1,True
209,8,2026-01-29,SmartTV,comedy,60,True
210,8,2026-02-21,SmartTV,true_crime,62,True
211,8,2025-01-01,iOS,true_crime,9,False
212,8,2024-11-18,Android,anime,28,False
213,8,2025-07-16,Android,comedy,40,True
214,8,2025-11-01,iOS,drama,19,True
215,8,2025-12-05,iOS,true_crime,83,True
216,8,2025-10-07,Web,sci_fi,61,True
217,8,2025-03-13,Android,documentary,35,False
218,8,2025-10-28,SmartTV,documentary,1,False
219,8,2026-03-12,Roku,sci_fi,48,False
220,8,2026-02-04,SmartTV,sci_fi,33,False
221,8,2025-11-11,iOS,documentary,51,False
222,8,2025-01-22,Roku,true_crime,78,False
223,8,2025-04-10,iOS,anime,39,True
224,8,2025-07-13,Web,reality,78,False
225,8,2025-01-22,Android,anime,42,True
226,8,2024-11-28,Roku,reality,12,False
227,8,2024-12-08,Web,sci_fi,7,False
228,8,2026-04-03,Roku,true_crime,6,False
229,8,2025-02-13,SmartTV,documentary,30,True
230,8,2025-08-09,Roku,true_crime,28,False
231,9,2024-09-15,Web,drama,78,False
232,9,2024-10-31,Web,reality,63,False
233,9,2024-03-20,iOS,kids,93,True
234,9,2024-12-22,iOS,kids,37,True
235,9,2025-03-03,Web,anime,46,False
236,9,2024-04-17,Roku,reality,1,True
237,9,2025-08-09,Android,documentary,1,False
238,9,2024-06-28,iOS,sci_fi,32,False
239,9,2024-03-21,Web,sci_fi,94,False
240,9,2024-05-20,Android,anime,51,True
241,9,2025-06-09,iOS,anime,26,True
242,9,2024-04-04,Roku,reality,12,True
243,9,2024-06-03,Android,reality,1,True
244,9,2025-01-05,SmartTV,drama,81,False
245,9,2025-05-10,iOS,sci_fi,92,True
246,9,2024-03-26,Android,documentary,71,True
247,9,2024-04-29,iOS,sci_fi,33,True
248,9,2025-01-21,SmartTV,sci_fi,26,False
249,9,2024-11-29,Android,drama,61,True
250,9,2024-10-31,iOS,sci_fi,3,True
251,9,2025-08-06,Roku,documentary,24,True
252,9,2024-04-03,Roku,comedy,34,True
253,9,2024-09-24,Web,true_crime,71,True
254,9,2024-06-05,Web,reality,62,False
255,9,2024-06-19,Web,comedy,49,False
256,9,2025-07-11,iOS,true_crime,27,True
257,9,2025-06-26,Web,reality,63,False
258,9,2025-07-05,iOS,kids,99,True
259,9,2024-07-31,Android,true_crime,81,True
260,9,2025-02-19,iOS,comedy,68,True
261,9,2024-04-09,SmartTV,comedy,64,True
262,9,2025-04-28,Roku,true_crime,67,True
263,9,2024-04-14,Web,anime,57,True
264,9,2025-05-20,Android,kids,31,False
265,9,2024-12-08,iOS,reality,32,True
266,9,2025-01-27,Roku,anime,73,True
267,9,2024-08-04,Web,kids,48,True
268,10,2026-06-16,Android,reality,32,True
269,10,2026-06-30,iOS,anime,37,False
270,10,2026-06-25,Web,drama,37,True
271,10,2026-06-12,Roku,true_crime,57,False
272,10,2026-06-22,Android,kids,80,False
273,10,2026-06-11,SmartTV,kids,18,True
274,10,2026-06-21,iOS,sci_fi,41,False
275,10,2026-06-17,Android,kids,58,True
276,10,2026-06-28,SmartTV,sci_fi,1,True
277,10,2026-06-15,Roku,true_crime,23,True
278,10,2026-06-19,iOS,drama,35,True
279,10,2026-06-19,Android,reality,9,True
280,10,2026-06-19,SmartTV,kids,37,False
281,10,2026-06-12,Roku,kids,24,False
282,10,2026-06-16,SmartTV,drama,50,True
283,10,2026-06-10,iOS,sci_fi,102,True
284,10,2026-06-17,Web,true_crime,53,False
285,10,2026-06-07,Roku,true_crime,45,True
286,10,2026-06-26,SmartTV,drama,34,True
287,10,2026-06-10,iOS,sci_fi,72,True
288,10,2026-06-09,iOS,true_crime,36,True
289,10,2026-06-08,Roku,anime,67,True
290,10,2026-06-27,Roku,anime,1,False
291,10,2026-06-10,Android,reality,18,True
292,10,2026-06-22,Web,reality,35,False
293,10,2026-06-16,Web,kids,5,False
294,10,2026-06-29,iOS,documentary,14,True
295,10,2026-06-12,Android,sci_fi,1,False
296,11,2025-08-20,Android,anime,47,False
297,11,2025-06-12,Android,sci_fi,28,True
298,11,2026-04-15,Web,drama,32,False
299,11,2025-10-08,Web,kids,33,True
300,11,2025-06-15,SmartTV,true_crime,111,True
301,11,2025-05-03,Android,documentary,3,True
302,11,2025-10-24,Web,kids,102,True
303,11,2026-06-20,SmartTV,sci_fi,1,True
304,11,2025-10-04,Android,true_crime,69,True
305,11,2025-09-26,SmartTV,true_crime,63,False
306,11,2025-05-14,Roku,true_crime,33,False
307,11,2025-07-08,iOS,drama,57,True
308,11,2024-12-31,SmartTV,documentary,20,True
309,11,2025-07-16,Roku,reality,1,False
310,11,2026-01-24,Android,sci_fi,1,True
311,11,2025-12-30,Web,documentary,45,True
312,11,2025-07-16,Roku,sci_fi,124,True
313,11,2026-01-03,Android,sci_fi,24,True
314,11,2025-08-19,Android,sci_fi,48,False
315,11,2025-10-06,iOS,documentary,43,False
316,11,2026-04-07,Roku,drama,8,True
317,11,2026-02-24,iOS,sci_fi,44,True
318,11,2025-01-27,SmartTV,comedy,44,False
319,11,2025-05-03,Web,kids,1,True
320,11,2025-11-26,SmartTV,drama,19,True
321,11,2025-07-31,Roku,sci_fi,66,False
322,11,2025-04-26,Web,sci_fi,1,False
323,11,2025-01-28,Roku,drama,47,False
324,11,2025-01-02,Web,comedy,49,True
325,11,2025-01-10,iOS,true_crime,91,False
326,11,2025-02-15,Roku,reality,31,True
327,11,2025-12-22,Web,kids,34,False
328,11,2025-01-04,Web,comedy,12,True
329,12,2025-04-24,Android,reality,60,True
330,12,2025-04-19,Android,sci_fi,16,True
331,13,2026-04-09,Android,drama,29,True
332,13,2026-02-10,Roku,anime,41,False
333,13,2026-03-31,SmartTV,documentary,26,True
334,13,2026-05-03,Android,anime,3,False
335,13,2026-01-29,SmartTV,sci_fi,56,True
336,13,2025-11-04,Roku,reality,36,True
337,13,2026-04-20,iOS,comedy,35,True
338,13,2026-05-29,Android,reality,66,True
339,13,2025-12-03,Roku,sci_fi,24,True
340,13,2026-03-29,SmartTV,sci_fi,52,True
341,13,2026-01-07,iOS,reality,1,False
342,13,2026-04-18,Roku,documentary,17,False
343,13,2026-02-27,iOS,anime,77,True
344,13,2026-03-15,SmartTV,true_crime,42,True
345,13,2025-11-21,Roku,documentary,60,False
346,13,2025-12-27,Android,documentary,20,True
347,13,2026-02-01,Web,reality,47,False
348,13,2026-01-19,Android,true_crime,30,True
349,13,2026-04-10,Web,comedy,12,True
350,13,2025-12-29,Android,kids,1,False
351,13,2026-04-29,iOS,kids,82,False
352,13,2026-02-03,Roku,drama,46,False
353,13,2026-01-30,iOS,true_crime,64,False
354,13,2026-05-13,Android,documentary,107,True
355,13,2026-04-01,Roku,sci_fi,40,False
356,13,2026-05-30,SmartTV,drama,8,True
357,13,2025-10-30,Web,true_crime,40,True
358,14,2024-03-05,Web,comedy,73,False
359,14,2025-06-15,SmartTV,sci_fi,64,True
360,14,2025-02-26,Roku,sci_fi,29,True
361,14,2024-04-24,Web,drama,81,False
362,14,2024-10-21,Roku,reality,15,True
363,14,2025-07-22,SmartTV,anime,35,True
364,14,2024-07-26,Roku,kids,81,False
365,14,2024-04-07,Roku,sci_fi,82,True
366,14,2024-09-01,Roku,documentary,75,True
367,14,2024-07-15,Roku,documentary,50,True
368,14,2024-02-26,SmartTV,comedy,65,True
369,14,2024-06-22,Roku,anime,39,False
370,14,2025-01-27,SmartTV,sci_fi,68,True
371,14,2024-10-31,SmartTV,reality,41,True
372,14,2024-12-22,Roku,true_crime,11,True
373,14,2024-05-14,Web,sci_fi,25,False
374,14,2025-06-20,SmartTV,kids,1,False
375,14,2025-04-21,SmartTV,drama,26,True
376,14,2024-06-09,Roku,kids,58,False
377,14,2024-06-25,Web,documentary,20,True
378,14,2025-02-08,Web,sci_fi,55,True
379,14,2025-06-30,Web,anime,78,True
380,14,2024-02-08,iOS,kids,44,False
381,14,2025-04-02,SmartTV,true_crime,72,False
382,14,2025-04-19,iOS,drama,94,True
383,14,2025-06-06,SmartTV,true_crime,24,True
384,14,2024-10-10,iOS,anime,101,True
385,14,2024-08-18,Roku,true_crime,26,True
386,15,2025-02-06,iOS,anime,39,False
387,16,2025-05-19,Roku,sci_fi,18,True
388,16,2024-10-05,Web,documentary,44,True
389,16,2024-09-05,Roku,sci_fi,62,False
390,16,2025-05-12,Roku,true_crime,53,True
391,16,2025-08-29,Roku,sci_fi,59,False
392,16,2024-08-22,Android,kids,31,True
393,16,2025-07-03,Android,true_crime,72,False
394,16,2025-05-21,SmartTV,anime,28,True
395,16,2024-10-13,iOS,comedy,72,False
396,16,2024-09-13,Android,anime,34,False
397,16,2025-04-01,Android,true_crime,1,True
398,16,2025-03-08,SmartTV,kids,53,False
399,16,2025-10-01,Roku,drama,14,True
400,16,2024-05-26,SmartTV,comedy,53,False
401,16,2024-07-21,Android,drama,26,True
402,16,2025-08-30,iOS,documentary,89,True
403,16,2025-06-01,Web,kids,52,False
404,16,2025-06-17,Web,anime,48,True
405,16,2024-11-25,SmartTV,reality,74,True
406,16,2025-01-19,Android,kids,51,True
407,16,2024-10-28,Android,kids,50,True
408,16,2024-08-23,iOS,true_crime,59,True
409,16,2025-10-10,Roku,anime,22,True
410,16,2025-02-26,iOS,documentary,99,False
411,16,2025-03-22,SmartTV,anime,45,True
412,17,2026-06-23,Android,documentary,17,True
413,17,2026-06-16,SmartTV,drama,81,True
414,17,2026-01-05,Web,true_crime,30,True
415,17,2025-08-27,Android,true_crime,1,False
416,17,2025-12-21,SmartTV,sci_fi,49,False
417,17,2025-12-11,SmartTV,reality,19,True
418,17,2025-10-25,Web,sci_fi,55,False
419,17,2026-02-09,Web,sci_fi,19,False
420,17,2025-11-21,SmartTV,reality,108,True
421,17,2025-12-25,Android,anime,55,True
422,17,2025-09-15,iOS,kids,95,True
423,17,2025-10-09,Android,true_crime,87,True
424,17,2026-03-31,SmartTV,kids,7,True
425,17,2026-01-15,Roku,comedy,24,False
426,17,2026-06-25,iOS,true_crime,48,True
427,17,2025-10-17,Web,true_crime,112,True
428,17,2026-02-22,SmartTV,comedy,100,False
429,17,2025-11-20,Android,documentary,48,True
430,17,2026-03-09,Web,comedy,32,True
431,17,2026-01-08,Android,reality,53,True
432,17,2025-12-26,Android,reality,66,True
433,17,2025-12-27,iOS,drama,73,True
434,17,2025-11-04,SmartTV,reality,87,False
435,17,2025-12-21,Roku,sci_fi,64,False
436,17,2026-01-31,iOS,drama,74,False
437,17,2025-12-09,iOS,drama,16,True
438,17,2025-09-11,SmartTV,true_crime,37,False
439,17,2025-10-31,SmartTV,sci_fi,1,False
440,17,2026-01-13,Web,reality,39,True
441,17,2025-11-13,iOS,true_crime,2,True
442,17,2026-03-24,Android,true_crime,1,True
443,17,2026-01-14,SmartTV,anime,12,False
444,17,2025-09-23,Web,reality,87,False
445,17,2026-02-06,Web,comedy,10,False
446,17,2026-05-11,iOS,sci_fi,52,True
447,17,2026-03-06,Roku,reality,33,True
448,17,2026-03-18,iOS,true_crime,7,False
449,17,2026-04-07,SmartTV,anime,67,True
450,17,2025-10-30,iOS,documentary,76,True
451,17,2025-10-25,Web,sci_fi,64,False
452,17,2026-02-24,SmartTV,documentary,57,True
453,17,2026-03-12,Android,reality,55,True
454,17,2025-09-18,Roku,sci_fi,48,True
455,17,2025-09-28,Roku,documentary,49,True
456,17,2025-12-01,Android,anime,28,False
457,17,2025-11-26,Web,drama,68,True
458,17,2026-01-24,SmartTV,documentary,78,True
459,17,2025-09-03,Roku,kids,60,True
460,18,2025-07-26,Android,anime,2,False
461,18,2025-05-20,SmartTV,documentary,42,True
462,18,2025-05-16,SmartTV,reality,38,False
463,19,2025-12-21,iOS,anime,3,True
464,19,2025-10-04,Android,kids,64,False
465,19,2025-03-17,Web,reality,26,True
466,19,2025-11-08,SmartTV,reality,79,True
467,19,2026-05-18,Android,kids,61,True
468,19,2026-04-30,SmartTV,true_crime,109,False
469,19,2025-08-11,Roku,documentary,93,True
470,19,2025-04-06,SmartTV,documentary,18,True
471,19,2026-02-16,SmartTV,reality,44,True
472,19,2025-04-01,iOS,anime,67,True
473,19,2026-03-24,SmartTV,reality,53,True
474,19,2026-04-29,SmartTV,sci_fi,49,False
475,19,2026-01-18,Web,drama,41,False
476,19,2026-02-20,Roku,kids,67,True
477,19,2025-10-13,iOS,true_crime,36,False
478,19,2025-07-25,Roku,true_crime,14,False
479,19,2025-07-07,iOS,reality,8,True
480,19,2025-06-14,SmartTV,reality,34,True
481,19,2026-04-24,Android,sci_fi,12,False
482,19,2026-01-11,Roku,drama,3,True
483,19,2026-02-16,iOS,reality,73,True
484,19,2025-11-20,Android,drama,90,True
485,19,2025-05-26,Android,comedy,19,False
486,19,2025-07-11,Android,comedy,31,True
487,19,2025-03-11,SmartTV,drama,33,True
488,19,2025-05-10,Roku,reality,40,True
489,19,2025-03-26,iOS,true_crime,56,True
490,19,2026-04-08,SmartTV,kids,70,True
491,19,2025-12-27,iOS,comedy,48,False
492,19,2025-09-17,Android,documentary,45,False
493,19,2026-05-18,Android,sci_fi,22,True
494,19,2026-06-19,Web,anime,40,False
495,19,2025-08-11,iOS,sci_fi,34,True
496,19,2025-11-11,Roku,documentary,34,False
497,19,2026-05-15,Roku,drama,84,False
498,19,2025-12-13,Web,comedy,58,True
499,19,2025-06-21,iOS,drama,78,True
500,19,2026-01-10,Android,anime,74,False
501,19,2025-12-13,Web,documentary,76,False
502,19,2025-09-21,Web,documentary,82,False
503,19,2025-03-30,SmartTV,sci_fi,57,True
504,19,2026-03-15,Android,true_crime,52,True
505,19,2025-09-22,iOS,reality,39,True
506,19,2025-05-04,SmartTV,sci_fi,32,False
507,20,2026-04-20,iOS,documentary,38,True
508,20,2026-01-06,Roku,reality,1,False
509,20,2025-10-14,Android,documentary,1,True
510,20,2026-05-09,iOS,sci_fi,63,False
511,20,2026-01-09,iOS,kids,40,False
512,20,2025-08-28,Roku,anime,39,False
513,20,2025-08-20,Web,drama,71,True
514,20,2026-04-02,Android,anime,49,True
515,20,2026-03-27,Roku,anime,93,True
516,20,2026-05-28,iOS,drama,64,True
517,20,2025-11-13,Web,drama,27,True
518,20,2026-04-07,Web,kids,20,False
519,20,2025-07-23,Android,sci_fi,27,False
520,20,2026-03-03,Android,documentary,45,True
521,20,2025-09-18,Web,comedy,58,True
522,20,2025-10-08,Android,anime,36,True
523,20,2025-10-28,Roku,drama,33,True
524,20,2025-10-19,iOS,reality,42,True
525,20,2025-08-22,SmartTV,comedy,8,False
526,20,2026-03-12,SmartTV,anime,1,True
527,20,2026-03-02,SmartTV,true_crime,12,False
528,20,2025-09-03,Web,drama,59,True
529,20,2026-06-23,Roku,comedy,87,False
530,20,2026-04-24,Roku,comedy,51,True
531,20,2025-09-21,Web,kids,118,False
532,20,2026-04-01,SmartTV,sci_fi,43,True
533,20,2025-08-25,Roku,reality,55,False
534,20,2025-09-07,iOS,documentary,32,False
535,20,2026-03-07,SmartTV,sci_fi,40,False
536,20,2025-08-09,Android,true_crime,56,True
537,20,2025-11-25,Roku,documentary,69,True
538,20,2026-06-21,Web,true_crime,38,False
539,20,2025-08-19,Android,anime,82,True
540,20,2026-04-30,Android,kids,23,False
541,20,2026-04-01,Roku,true_crime,119,True
542,20,2026-01-09,iOS,documentary,34,False
543,20,2025-11-27,Roku,reality,77,False
544,20,2025-10-28,Roku,anime,19,False
545,20,2025-12-13,SmartTV,true_crime,41,True
546,20,2025-11-16,SmartTV,kids,60,True
547,20,2025-11-19,SmartTV,sci_fi,88,True
548,20,2025-10-07,Android,kids,67,False
549,20,2025-11-12,SmartTV,documentary,84,True
550,20,2025-09-11,SmartTV,true_crime,1,True
551,20,2025-08-19,iOS,kids,40,True
552,20,2025-10-28,Web,documentary,106,False
553,20,2026-02-17,Roku,reality,1,True
554,21,2026-03-23,SmartTV,drama,76,True
555,21,2026-04-02,Web,true_crime,13,True
556,21,2026-04-05,iOS,comedy,81,True
557,21,2026-04-11,Roku,kids,63,True
558,21,2026-04-04,iOS,anime,29,True
559,21,2026-05-18,Web,comedy,19,True
560,21,2026-03-13,SmartTV,anime,69,False
561,21,2026-05-20,SmartTV,anime,55,True
562,21,2026-05-14,SmartTV,documentary,65,True
563,21,2026-05-31,Roku,sci_fi,25,True
564,21,2026-05-20,iOS,kids,84,True
565,21,2026-02-27,Web,kids,1,False
566,21,2026-05-21,Roku,true_crime,57,False
567,22,2026-06-03,iOS,kids,100,False
568,22,2026-05-31,Web,kids,13,False
569,22,2026-01-28,Web,reality,42,False
570,22,2026-03-12,Roku,reality,32,False
571,22,2026-03-28,iOS,anime,42,False
572,22,2026-01-13,SmartTV,reality,1,True
573,22,2026-01-15,SmartTV,true_crime,59,False
574,22,2026-03-30,iOS,documentary,7,False
575,22,2026-01-26,iOS,reality,79,True
576,22,2026-04-27,Web,sci_fi,23,True
577,22,2026-06-06,Web,drama,96,True
578,22,2026-02-26,SmartTV,drama,83,True
579,22,2026-03-15,Android,reality,77,False
580,22,2026-05-19,Android,comedy,123,False
581,22,2026-01-25,Roku,anime,35,True
582,22,2026-01-19,Roku,reality,52,False
583,22,2026-06-17,SmartTV,anime,64,True
584,22,2026-01-25,iOS,anime,1,True
585,22,2026-03-19,SmartTV,true_crime,44,False
586,22,2026-02-21,Roku,reality,50,True
587,22,2026-04-10,Web,anime,20,True
588,22,2026-04-02,SmartTV,true_crime,71,False
589,22,2026-05-15,iOS,kids,4,True
590,22,2026-05-12,SmartTV,true_crime,44,True
591,22,2026-04-30,iOS,drama,1,True
592,22,2026-03-06,Web,comedy,54,True
593,22,2026-03-21,Web,reality,1,False
594,22,2026-02-13,Web,reality,10,False
595,22,2026-04-18,SmartTV,true_crime,32,True
596,22,2026-05-08,iOS,sci_fi,1,True
597,23,2026-06-16,Android,reality,78,True
598,23,2026-06-15,Web,anime,57,False
599,23,2026-06-26,Web,kids,56,True
600,23,2026-06-12,Web,true_crime,33,True
601,23,2026-06-22,Android,sci_fi,17,False
602,24,2025-12-21,SmartTV,reality,91,False
603,24,2026-01-23,Web,kids,24,False
604,24,2025-06-24,iOS,documentary,50,True
605,24,2025-12-22,Roku,drama,59,True
606,24,2026-06-04,Android,documentary,17,False
607,24,2025-07-16,SmartTV,kids,38,False
608,24,2025-08-20,SmartTV,sci_fi,90,True
